trial_id,seed,snr_db,failed,error,shared_data_hash,delta_position_error_m,delta_clock_error_ns,delta_range_rmse_m,delta_tau_rmse_s,delta_channel_y_nmse,delta_raw_objective,delta_regularized_objective,delta_route_runtime_s,delta_deployment_runtime_s,ccop_position_win,ccop_clock_win,ccop_channel_win,ccop_raw_objective_win,ccop_regularized_objective_non_degradation,ccop_incremental_runtime_win,old_outlier,ccop_outlier,outlier_rescued,outlier_introduced
78,3459944134,-10.0,False,,296a6e1f6eeec4f7906e,0.024421481148616753,-3.0219098730634983,0.027837868464817506,-2.9360713431647446e-09,-0.008541012064707032,-0.0017082645341091052,-0.0014725399221795499,0.08340037846937776,0.5112026503775269,False,True,True,True,True,False,True,True,False,False
79,1745735286,-10.0,False,,01b7c7c11579a10e4ecd,0.0008575776425318957,-0.005193770378411247,0.0004109933690324974,-7.16462404374313e-13,1.9213870877498812e-05,-1.635116207410192e-05,-1.642278755165094e-05,0.15976160927675664,0.5374306451994926,False,True,False,True,True,False,False,False,False,False
80,2169855254,-10.0,False,,9ec602aa3d9a77de6a53,-0.033214359940429816,-0.11204338319833326,-0.02751378206285522,-3.1321825682602794e-11,-0.01738564707991167,-0.002325613665998816,-0.0023250975808746244,-0.03135461965575814,0.5147976712323725,True,True,True,True,True,True,False,False,False,False
81,2182675081,-10.0,False,,594857458ce4b1dded94,-0.002812460210539448,-0.009777549608494574,-0.0025701472863618444,-5.569567772712611e-13,-0.00024680247238701954,-1.3838654440823106e-05,-1.3846211893042693e-05,-0.0935508890543133,0.5157043510116637,True,True,True,True,True,True,False,False,False,False
82,585321039,-10.0,False,,24e95382bee075802db1,-0.01884858264996391,-0.04934657693511561,-0.014321592148807537,-1.0532211692386048e-11,-0.00846283483423847,-0.007089871610961751,-0.007087419118350979,0.003413324011489749,0.5604475410655141,True,True,True,True,True,False,False,False,False,False
83,3559797852,-10.0,False,,111e6cffa66a30a5ae36,-0.0060276477033293484,-0.006087073555702351,-0.004556793702637663,1.4453751011344932e-12,-0.00019817704131466844,-6.123550102632436e-05,-6.119988924657704e-05,0.12932851980440319,0.5139251328073442,True,True,True,True,True,False,False,False,False,False
84,3524806291,-10.0,False,,070835f71a23836e51a6,-0.3990965216038802,-0.11228129413635234,-0.03553839512644589,-3.765306933029675e-11,-0.09521997818916707,-0.027269604852083518,-0.027244908238995613,0.3509781847242266,0.7608603457920253,True,True,True,True,True,False,True,False,True,False
85,1193988510,-10.0,False,,8855051557923972ec2e,-0.004898706881946388,-0.015206584874061315,-0.004211762604118889,-1.3135573456652676e-12,-0.00081830194425944,-0.0004961076131557718,-0.0004963842460252721,0.1508432631380856,0.5379879041574895,True,True,True,True,True,False,False,False,False,False
86,550426581,-10.0,False,,ef559bc438ddcbb2ce27,-0.032844377994871166,-0.034091460182034045,-0.008853632332150047,-3.2347409550971998e-12,-0.015271950956809742,-0.005297802129208051,-0.00529795526994592,-0.02201249497011304,0.5157352748792619,True,True,True,True,True,True,True,True,False,False
87,3783487590,-10.0,False,,aa6c1249e3a3fa755de6,-0.013422998649462602,-0.03939627425238231,-0.01128046540028865,-2.8685805172879344e-12,-0.0029191076654171816,-0.00043325664313376144,-0.00043327568755247015,1.2192055287305266,1.7175434669479728,True,True,True,True,True,False,False,False,False,False
88,2951315003,-10.0,False,,117a186710fd8c6d48bc,0.11389921693789462,0.121817440249123,0.0425376103959349,5.882003683047181e-11,-0.0017420629817777034,-0.00048316611492138506,-0.0004208650612311793,0.0042355419136583805,0.5133806818630546,False,False,True,True,True,False,True,True,False,False
89,2084992833,-10.0,False,,ca9532d197115726de64,-0.016997652337335953,-0.05055029415985061,-0.014796830708252245,-5.043644173126005e-12,-0.014702779224984917,-0.001479188524096342,-0.001479265088151216,0.094949996098876,0.49354638205841184,True,True,True,True,True,False,False,False,False,False
90,1310474418,-10.0,False,,f21bbad8505a36128143,-0.02890293549863645,-0.08765927090261529,-0.024904652599770056,-1.2015014911011636e-11,-0.018498642728790562,-0.0026333580123896194,-0.0026338058146329058,0.14421770116314292,0.5373862111009657,True,True,True,True,True,False,False,False,False,False
91,4114984733,-10.0,False,,53bf3e0173f96cd227eb,-0.008761750019203417,-0.01781544491404572,-0.006041431210963343,-3.5481868692272756e-12,-0.002537320979334811,-0.0011254393332560397,-0.0011253070427565959,0.10365829872898757,0.49396839970722795,True,True,True,True,True,False,False,False,False,False
92,71488209,-10.0,False,,3fd31160fc8c81fe2561,-0.09633783598824715,-0.30656861431700055,-0.08388547824520812,-4.6566035484833304e-11,-0.21122288442813084,-0.06982282819023666,-0.06982269944353892,0.13553113327361643,0.6747139950748533,True,True,True,True,True,False,False,False,False,False
93,3636486471,-10.0,False,,fa276617798bcac95984,-0.016927150676527947,-0.07123638329383306,-0.01464193373513548,2.786667515132781e-12,-0.02148091583778431,-0.005092691811308114,-0.005093313558154122,0.11313885496929288,0.4932065950706601,True,True,True,True,True,False,True,True,False,False
94,3275046052,-10.0,False,,a1c8d24b74dd43b61a06,-0.06254245098346761,-0.19875055887895143,-0.054906900929871015,-3.020450005301723e-11,-0.07683688888455856,-0.026376654629822305,-0.026376142250030377,0.12444186094217002,0.5868593810591847,True,True,True,True,True,False,False,False,False,False
95,3761732235,-10.0,False,,52be20b1eeb3facaefa5,-0.006278445673687651,-0.02004098702626536,-0.005729645385398607,-2.499403765444233e-12,-0.0012828639134738389,-0.0004694033901975203,-0.00046939994398798035,0.019835760118439794,0.5184060540050268,True,True,True,True,True,False,False,False,False,False
96,120357199,-10.0,False,,c299b8a31a52db394765,-0.005044167655148728,-0.007770568368206868,-0.004412200802925701,2.0326872923955173e-14,-0.00041676359124944893,-0.00015756681387379956,-0.00015765827303493296,0.13826903118751943,0.5148477752227336,True,True,True,True,True,False,False,False,False,False
97,2413087209,-10.0,False,,7c37608addbc82366f68,-0.01975770470980795,-0.06126587169136406,-0.01747317920539669,-8.748424359809287e-12,-0.008964381296777558,-0.004666173704823251,-0.004664462301087191,0.117323013022542,0.5629561229143292,True,True,True,True,True,False,False,False,False,False
98,530580898,-10.0,False,,1b1f226ad2f75e7f6561,-0.02591023299720317,-0.07538092959950562,-0.02231438862862701,-5.292881408712284e-12,-0.018824344045724785,-0.008498234674066296,-0.008497756469354023,0.11410215310752392,0.5814984310418367,True,True,True,True,True,False,False,False,False,False
