trial_id,seed,hash_match,position_error_m,outlier_flag,boundary_hit,cp_ngc_statistic,cp_ngc_truth_statistic,cp_ngc_dof,cp_ngc_pvalue,cp_ngc_truth_pvalue,oracle_bias_corrected_statistic,oracle_bias_corrected_truth_statistic,oracle_bias_corrected_pvalue,oracle_bias_corrected_truth_pvalue,cp_ngc_delta_t_gls_ns,projected_geometry_rank,cert_information_min_eigenvalue,assignment_margin,selected_clock_std_ns,max_ris_residual,stage1_runtime_s,threshold_a0p05,rejected_a0p05,truth_rejected_a0p05,oracle_bias_corrected_rejected_a0p05,oracle_bias_corrected_truth_rejected_a0p05,threshold_a0p01,rejected_a0p01,truth_rejected_a0p01,oracle_bias_corrected_rejected_a0p01,oracle_bias_corrected_truth_rejected_a0p01
42,4028604297,False,0.0003355313538071145,False,False,7.15775471960529,7.16194802976756,11,0.7861680516732352,0.7858210262582608,1.4743839233151987,1.4733007230048527,0.9996502939960954,0.9996515476450415,4.932127723413067,3,49.81235385585021,2.4810822868838946,0.55022216984297,0.399781116425165,13.482011361000332,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
43,1419952921,False,0.0010191130434766486,False,False,18.96847551034916,18.996292340923446,11,0.061661736143571476,0.06116009541746186,6.5474600924200415,6.502680380987932,0.8344588367769114,0.8378107238432896,4.553794458732798,3,49.94282921208229,3.81492284355554,0.5296134354095778,0.3068276828675837,12.971242003997759,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
44,3890653440,False,0.00020205255821874148,False,False,7.528431449447125,7.534605246045448,11,0.7548192454846419,0.754286458606939,2.6213938287473795,2.6183432469272083,0.9948435993104093,0.9948700978291198,4.929051701813959,3,49.82777599810709,3.1209846331846007,0.6299128838629449,0.3211210375284502,12.69424944000275,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
45,4183453817,False,0.0015478020622027898,False,False,14.376422594347673,14.515192736259621,11,0.2128596755852544,0.20578429012153912,1.5422837338764355,1.5861829719891973,0.9995645103948861,0.9995010129765651,5.478987140416018,3,49.86631362132027,6.455042477492956,0.31533505421202807,0.2528591148306728,12.657114934001584,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
46,2935528983,False,0.6284863637663244,True,False,11.164190525382875,126.28707753980225,11,0.4296122671585849,9.801521093566161e-22,9.29716659735923,80.03079975895062,0.5944832092604617,1.4556302242613845e-12,3.924972637105683,3,55.42922620032912,1.2450766738234573,1.0885345975464873,0.5857523338380866,13.059422500999062,19.67513757268249,False,True,False,True,24.724970311318277,False,True,False,True
47,2160397598,False,0.0006081885715282125,False,False,13.307250524372492,13.431323111544243,11,0.2737189039888125,0.26607108048723493,1.3726655228964377,1.3112382827785005,0.9997537641282483,0.9998036111808256,4.929409776495201,3,49.8212720391534,4.600381486705897,0.20524040946741484,0.1606522456307549,13.030476455998723,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
48,81257469,False,0.0002648507987440645,False,False,10.012456798191266,9.979561226429187,11,0.5292670001054418,0.5322265724562412,1.0205002456167989,1.0452007482867436,0.9999441414057678,0.9999369437737512,4.968945410679994,3,49.800630330442175,6.729891065279146,0.17834121239792206,0.18084360167636843,12.297102471999096,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
49,2856970602,False,0.700000170880257,True,True,36.083128225568984,12.16777771470941,11,0.00016393264312424043,0.35116501162417424,63.69565963781896,4.5779313941399105,1.8941428038028925e-09,0.9498746865593622,4.812036572151584,3,54.64122468810555,3.288791467682024,0.28227247304268405,0.3235402204625619,12.999733665998065,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
50,1106178032,False,0.7000007900711962,True,True,33.191390208832736,15.570984670707535,11,0.0004898702478877529,0.15781987644531617,58.012379872370055,4.713353899250479,2.164546350429354e-08,0.944250102523837,5.2644876862222025,3,54.834674352192856,8.086309996648135,0.10578050326956098,0.1546298161930905,12.300140286002716,19.67513757268249,True,False,True,False,24.724970311318277,True,False,True,False
51,2563947575,False,0.7000007806037197,True,True,7.559973715009414,76.55684492855539,11,0.7520938649622857,6.808282305070665e-12,25.717128808917593,56.86752897919388,0.007148810381305829,3.519545530246772e-08,5.410923437294559,3,55.18231238200102,1.279964066468821,1.9381315640280574,0.4944998484547728,12.356651865000458,19.67513757268249,False,True,True,True,24.724970311318277,False,True,True,True
52,2538379628,False,0.0007454793587996737,False,False,13.873100133723518,13.921595127453877,11,0.24009509324046974,0.23736235241344064,2.2981704839768184,2.2823147338104612,0.997144036387102,0.9972327147675544,5.210298760397933,3,49.83158659385968,3.7497241505580394,0.4859241005758948,0.2876727498738952,12.974024284001644,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
53,2118589924,False,0.0010237730968945538,False,False,16.225868832546826,16.108643297533746,11,0.13295056276003372,0.1371452230545894,1.7359080904674167,1.7424783804424124,0.9992299225015947,0.9992158953563913,5.150102673054988,3,49.77961115150188,3.222332799794122,0.2748856464925359,0.3788514282031267,12.53066964500249,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
54,4045394661,False,0.0013355366144248502,False,False,11.82037420807196,11.785266707894989,11,0.37729554194656495,0.3799986534678166,2.155445652944158,2.178973083824114,0.9978710168993227,0.997761868232516,5.1301738516445194,3,49.877442062426596,2.7100678262138875,0.43486583435325005,0.35865847876481,12.102587952998874,19.67513757268249,False,False,False,False,24.724970311318277,False,False,False,False
